country,vaccine,doses
Dominican Republic,Unknown,1807311
Ecuador,AstraZeneca,1072000
Ecuador,Pfizer/BioNTech,3413310
Ecuador,Sinovac,2520000
Ecuador,Unknown,7013389
Egypt,AstraZeneca,2623200
Egypt,Sputnik V,210000
Egypt,Covishield,50000
Egypt,Sinopharm,2150000
Egypt,Sinovac,2000000
El Salvador,AstraZeneca,429600
El Salvador,Moderna,3000200
El Salvador,Pfizer/BioNTech,442260
El Salvador,Covishield,20000
El Salvador,Sinovac,2650000
Equatorial Guinea,Sinopharm,300000
Equatorial Guinea,Unknown,14289
Estonia,AstraZeneca,348000
Estonia,Janssen,46000
Estonia,Moderna,160800
Estonia,Pfizer/BioNTech,886860
Eswatini,AstraZeneca,14400
Eswatini,Janssen,302400
Eswatini,Covishield,44000
Ethiopia,AstraZeneca,391200
Ethiopia,Janssen,1664150
Ethiopia,Covishield,2184000
Ethiopia,Sinopharm,300000
Fiji,AstraZeneca,634200
Fiji,Moderna,150080
Finland,AstraZeneca,631200
Finland,Janssen,68400
Finland,Moderna,776400
Finland,Pfizer/BioNTech,4947345
France,AstraZeneca,10355500
France,Janssen,2695800
France,Moderna,9257200
France,Pfizer/BioNTech,59609160
French Polynesia,Unknown,161482
Gabon,Sinopharm,100000
Gabon,Unknown,3820
Gambia,Janssen,302400
Gambia,Covishield,36000
Gambia,Sinopharm,10000
Georgia,AstraZeneca,279600
Georgia,Sputnik V,6500
Georgia,Pfizer/BioNTech,558420
Georgia,Sinopharm,600000
Georgia,Sinovac,1100000
Germany,AstraZeneca,17433730
Germany,Janssen,4045955
Germany,Moderna,11865280
Germany,Pfizer/BioNTech,76265265
Ghana,Sputnik V,21000
Ghana,Covishield,1167000
Ghana,Unknown,1033393
Gibraltar,Unknown,78459
Greece,Unknown,10807733
Greenland,Unknown,64591
Grenada,AstraZeneca,45600
Guatemala,AstraZeneca,926400
Guatemala,Sputnik V,350000
Guatemala,Moderna,4500000
Guatemala,Pfizer/BioNTech,363870
Guatemala,Covishield,200000
Guinea,Sputnik V,40000
Guinea,Covishield,194400
Guinea,Sinopharm,400000
Guinea,Sinovac,300000
Guinea-Bissau,Janssen,302400
Guinea-Bissau,Covishield,40800
Guinea-Bissau,Unknown,24000
Guyana,AstraZeneca,62400
Guyana,Sputnik V,305536
Guyana,Covishield,83000
Guyana,Sinopharm,20000
Haiti,Moderna,500000
Honduras,AstraZeneca,445100
Honduras,Sputnik V,6000
Honduras,Moderna,3000100
Honduras,Pfizer/BioNTech,327600
Hong Kong SAR and Macao,Pfizer/BioNTech,300000
Hungary,AstraZeneca,2783500
Hungary,Sputnik V,1100000
Hungary,Janssen,550800
Hungary,Moderna,1200000
Hungary,Pfizer/BioNTech,7393230
Hungary,Sinopharm,1700000
Iceland,AstraZeneca,100880
